size_m2,rooms,house_age,distance_km,price
188.0,3,51.2,9.85,589882
118.9,3,30.1,7.73,442807
42.2,4,43.6,3.88,242617
73.5,4,23.0,9.17,314266
104.1,2,7.5,7.91,390981
146.4,6,32.4,8.92,544043
148.6,4,10.0,12.16,531641
168.1,2,12.3,5.09,579090
138.3,2,31.8,11.89,521694
86.0,3,9.0,6.83,398709
136.2,2,39.9,9.1,434695
167.2,3,27.5,5.01,580801
64.6,7,33.6,3.74,374056
140.3,6,9.5,7.01,600377
123.4,7,36.9,7.71,485671
233.0,3,21.6,13.58,750278
150.9,2,11.9,14.62,524250
161.0,4,5.5,3.0,585499
144.6,4,28.2,5.05,545051
224.2,6,13.5,7.53,828293
140.7,3,16.5,11.92,483035
73.3,3,28.4,8.08,354709
182.0,3,42.9,7.06,606192
153.7,3,27.2,16.67,536150
134.0,7,16.7,9.14,503726
125.7,5,1,11.79,548865
112.6,7,20.8,12.37,435575
112.6,3,1,13.64,372472
53.4,2,11.3,10.45,167583
167.4,7,8.0,6.95,664656
175.0,2,31.7,4.87,613320
127.4,6,26.1,6.04,478647
191.5,7,25.7,15.79,649582
160.9,7,37.0,7.75,589296
148.1,7,31.4,8.12,556965
93.9,5,8.8,15.79,412835
117.1,7,30.4,7.0,487330
138.4,7,36.0,6.04,509573
150.7,5,40.4,7.3,606476
98.7,4,1,7.16,387289
53.3,6,31.5,11.47,369653
126.9,5,23.7,12.22,493242
247.8,5,23.1,10.41,937174
132.9,3,48.0,7.95,410143
85.4,7,43.9,0.5,416557
111.6,5,12.5,6.15,483640
177.5,5,16.6,7.29,677150
100.6,4,38.0,14.67,343525
130.7,3,17.3,6.02,397584
110.4,5,41.8,1.77,503719
200.8,4,43.9,9.98,634155
175.8,7,33.4,10.78,641539
115.3,3,46.4,9.02,315632
111.3,7,26.9,1.39,562579
94.6,2,20.9,14.18,327516
56.3,7,34.1,11.15,258475
163.0,3,13.0,4.39,597832
100.6,7,53.2,7.63,478203
104.0,5,46.8,12.19,413994
162.0,5,34.7,3.82,591548
86.4,5,51.4,9.67,349416
150.8,2,33.9,6.38,534612
129.8,2,13.7,7.99,411674
78.2,5,36.3,7.15,401586
67.7,4,25.3,11.33,309864
65.3,3,1,15.12,305881
76.9,5,42.2,15.45,260551
125.9,2,22.3,1.94,491890
155.1,5,1,11.99,584297
187.0,5,10.1,10.98,668756
137.9,6,31.6,9.89,523065
148.4,5,1,13.96,589320
140.7,6,25.1,13.05,499076
113.1,4,33.9,3.78,432055
121.6,4,16.8,2.77,482668
98.3,6,33.3,12.97,390467
152.3,4,24.7,2.9,507434
91.1,3,27.0,12.05,328109
112.0,3,20.1,2.01,442618
93.0,7,31.7,4.58,455579
58.3,7,26.2,2.68,379175
142.9,7,55.5,8.84,525579
93.3,3,25.3,8.34,375774
122.2,6,10.0,5.42,528177
126.9,7,43.4,13.04,502123
131.8,2,22.2,10.18,434290
133.3,5,27.0,2.0,557237
112.3,2,33.1,11.25,346028
157.0,7,63.8,4.61,598268
108.2,4,1,6.2,459236
134.5,5,28.5,9.98,493680
146.6,4,22.3,8.4,496893
125.7,7,17.7,4.19,561288
142.9,4,19.3,7.64,482178
99.6,7,15.0,8.12,448612
134.0,2,26.4,7.71,518166
149.3,4,15.3,2.95,660075
183.8,7,33.1,6.7,727582
187.1,7,25.7,9.39,698747
128.8,7,17.4,17.56,470999
97.0,5,34.0,8.85,366416
114.7,7,25.1,5.98,562150
137.1,4,35.8,1.21,539304
80.5,5,12.8,8.05,335714
129.6,6,26.9,5.72,521511
103.1,2,28.8,7.84,372272
158.6,7,37.0,10.43,594991
149.8,7,39.8,8.47,628883
130.1,4,1,6.59,565905
74.3,3,46.1,5.62,289004
123.0,6,39.6,8.55,492171
119.7,6,38.5,8.85,540813
50.0,2,1,16.28,189627
125.2,4,44.5,11.23,434327
139.0,6,32.9,8.54,549570
95.1,6,24.1,7.57,487641
137.8,6,22.2,7.07,515614
155.5,2,28.8,8.88,536826
72.9,3,9.7,10.93,224457
87.6,6,34.4,6.97,411503
134.1,2,3.2,2.02,547355
108.1,6,16.1,10.01,467883
106.2,4,7.6,5.95,403532
182.7,4,34.4,7.34,634133
127.5,7,1,10.1,611895
121.2,3,26.9,1.42,498547
51.1,5,45.7,8.3,216138
141.0,5,28.2,12.73,535203
87.4,3,40.5,6.63,339810
127.0,5,30.9,0.78,524405
146.0,3,22.5,8.62,497520
149.7,6,16.9,11.54,553346
165.9,3,10.8,2.99,548908
80.0,3,7.9,9.21,302086
128.0,6,42.8,10.09,513671
182.8,3,63.6,12.97,560230
120.5,4,20.0,12.0,474076
66.6,4,17.2,5.96,281631
120.2,4,42.9,3.94,463498
175.0,5,28.7,3.75,661166
65.6,3,2.4,9.5,248922
154.4,4,31.9,11.62,550275
108.5,7,24.7,14.18,510957
95.1,2,51.5,12.46,297088
49.3,3,55.7,9.46,176251
73.7,2,6.8,11.92,379450
40,3,27.3,5.5,140878
133.7,6,58.5,8.09,466807
145.5,5,16.3,10.93,579517
144.0,4,19.1,5.8,520371
101.5,5,33.6,12.97,458932
83.7,3,1,8.82,315414
121.4,4,19.4,12.3,430358
59.4,2,21.3,7.94,282623
160.6,4,1.9,6.87,726822
86.6,2,17.1,5.67,339766
119.5,6,19.3,7.87,553030
172.8,7,22.6,13.15,606026
119.5,4,12.3,4.83,451264
40,3,22.0,2.51,225133
132.8,6,26.7,6.84,547262
102.2,6,35.0,7.32,448363
69.9,3,50.2,14.22,288716
120.9,2,35.2,10.06,398885
103.9,4,12.7,9.33,407133
156.4,6,1,5.36,606895
180.0,3,13.7,8.06,624341
128.4,3,26.5,8.11,466578
121.1,6,22.2,6.53,481992
78.7,7,36.3,2.28,398596
129.6,4,14.7,13.17,487219
184.2,5,23.9,7.9,659872
157.0,5,1,13.11,612493
180.9,4,79.2,8.12,578418
85.9,7,50.7,10.93,351271
173.8,7,33.3,1.51,721428
88.9,7,22.9,15.64,344270
160.9,3,36.0,7.81,569834
116.3,7,1,10.25,503161
78.5,5,40.7,12.72,272038
99.2,6,1,0.5,508488
94.5,5,1,10.81,400175
172.9,5,4.0,6.84,648435
138.9,2,19.7,12.26,488013
177.9,7,67.1,9.15,629630
100.0,7,1.1,9.13,478129
162.0,3,1.1,11.05,502083
131.5,7,20.8,9.79,533947
125.4,2,33.4,16.36,346564
120.4,7,17.3,4.93,502160
167.7,7,48.6,8.98,653412
112.7,4,26.7,9.14,414995
125.4,6,1,0.5,570770
112.6,5,21.9,12.74,437214
156.7,2,36.7,5.28,512983
131.3,4,19.0,8.1,492437
140.1,2,54.1,12.65,413456
48.7,3,26.7,13.25,176808
166.4,6,19.2,11.07,609485
133.6,5,52.2,12.77,535987
124.9,7,4.2,6.26,551278
111.7,5,32.1,13.15,369287
69.1,4,37.2,8.85,308580
158.4,5,12.7,13.61,565663
139.6,6,21.8,8.19,484747
97.5,4,11.8,0.5,425077
71.6,4,32.0,10.08,323713
127.7,3,1.6,5.11,545304
104.3,4,4.8,6.02,496229
132.9,3,16.3,14.33,437245
90.4,3,15.0,6.78,382319
183.8,2,20.5,10.99,642287
127.7,3,34.7,9.81,369929
95.7,7,29.7,10.76,400607
153.6,2,11.7,2.3,597030
103.6,7,5.1,7.76,493981
117.0,2,54.4,7.5,281015
72.7,7,35.0,3.34,317637
91.3,7,2.2,5.59,388890
95.5,5,1.7,5.17,451284
94.1,3,1,9.28,312806
99.2,5,15.1,7.21,424263
150.5,7,8.1,10.3,599365
80.8,5,1,12.3,283583
143.9,3,33.5,11.71,532040
165.1,2,17.1,10.53,505886
132.7,2,44.6,3.18,390883
79.3,5,22.5,9.51,402128
67.1,2,44.1,7.28,177147
100.2,5,14.6,7.47,429617
83.6,7,34.2,5.6,354682
146.3,5,34.7,12.55,496505
134.0,5,56.8,5.67,491087
133.7,7,22.1,10.0,598167
106.6,3,1,4.55,481215
150.8,5,1,14.75,555841
79.0,5,1,3.23,461239
115.8,4,42.4,13.99,379968
48.1,4,28.8,4.34,293502
100.3,6,43.7,4.18,382905
60.3,5,56.5,15.03,244404
178.1,3,7.4,4.39,636479
69.1,3,12.0,13.58,247759
120.0,3,33.3,9.56,391855
53.0,3,34.4,13.84,148545
161.5,6,58.0,9.72,563965
161.1,7,11.8,9.4,619600
102.7,7,4.3,11.17,416557
134.9,5,31.1,8.22,528139
106.1,5,25.3,13.15,367570
120.5,6,35.8,8.3,473606
144.3,6,8.0,4.64,600496
78.8,7,29.0,13.07,382293
113.7,6,21.7,14.26,462234
192.7,2,24.8,3.4,648366
128.4,7,22.2,6.2,558142
168.6,4,39.8,3.18,610095
123.5,5,12.7,6.34,529203
151.3,4,29.8,9.91,492485
88.2,6,24.7,6.49,424785
100.0,3,25.4,6.62,407105
71.4,2,11.8,3.91,330677
76.6,5,38.1,7.86,328995
153.2,6,62.7,8.14,529716
69.9,5,24.9,3.83,303110
102.2,7,2.1,8.98,484786
82.6,3,6.2,10.03,345098
187.2,7,32.2,16.08,669404
142.2,7,36.9,7.83,596970
89.1,5,32.4,3.19,371180
160.2,6,14.1,9.95,618930
139.4,5,3.1,7.36,559793
79.4,7,40.7,12.51,341196
104.2,7,29.4,0.5,509589
90.5,2,11.4,7.18,323316
136.8,2,23.4,8.52,465227
114.3,7,11.8,7.67,419858
75.9,7,47.3,11.98,279916
168.6,7,37.8,2.05,670876
188.2,2,1,7.88,638080
177.8,6,27.4,11.03,661835
116.9,5,14.2,5.3,465048
181.2,5,15.8,7.01,649556
131.1,7,8.6,11.7,606268
51.3,5,29.5,14.59,201799
89.6,2,18.9,3.82,306890
137.4,6,1.9,7.89,563310
164.0,6,52.7,0.5,662689
76.6,6,44.1,8.39,305810
61.7,4,33.3,7.66,308779
57.0,2,7.8,7.47,265728
217.2,3,1,6.83,833343
141.3,5,1,7.04,581400
52.6,3,14.4,9.5,170681
154.2,2,23.3,6.03,484305
128.3,2,38.3,9.15,370222
181.8,2,42.1,8.57,624346
186.4,6,2.4,5.95,769306
128.2,2,36.9,10.62,463705
86.4,5,42.6,9.46,263321
122.1,5,65.7,6.67,447586
72.7,3,1.5,7.6,327371
109.6,2,49.2,19.92,315644
150.8,6,9.5,10.07,679337
116.6,5,33.0,8.8,372801
149.8,2,21.9,1.15,647126
113.2,2,27.9,0.5,394980
40,2,36.3,11.73,94438
175.3,2,11.8,7.77,644412
56.5,7,1,5.46,359900
142.6,3,11.0,10.83,498963
149.9,4,28.3,12.73,530393
208.3,4,32.0,9.43,638215
49.7,2,1,10.82,234513
146.6,7,25.4,6.38,648458
120.9,4,16.5,5.25,505463
92.4,5,37.4,8.16,393534
117.2,7,22.4,14.11,436748
161.8,2,53.4,15.35,432073
136.8,5,18.6,16.81,460142
113.7,2,27.5,4.52,416295
140.2,7,6.6,5.61,631418
117.8,5,13.7,5.89,480148
141.7,5,14.7,8.02,556295
89.7,3,18.5,7.87,366853
75.8,3,30.6,9.36,282108
167.0,3,8.6,0.94,597929
169.1,4,45.5,5.16,599796
122.1,5,38.2,5.91,553381
180.3,4,35.2,11.52,645881
75.5,6,32.6,8.16,348441
144.2,3,5.9,7.27,538006
92.9,3,32.8,9.63,350430
128.1,3,1,1.94,468927
169.8,4,6.3,8.98,636158
92.9,3,2.8,5.67,373458
179.5,5,36.7,12.82,535476
83.3,4,23.1,12.37,253302
112.9,5,25.1,11.96,472847
120.5,4,48.2,14.06,407724
49.6,4,8.9,3.69,274182
99.8,7,24.1,8.25,524501
179.3,5,8.7,0.5,665520
115.1,7,33.3,3.2,510812
71.2,2,20.7,8.07,285716
102.2,4,17.6,7.98,479431
137.7,7,26.5,7.78,531301
149.7,5,3.1,1.83,607207
184.4,7,46.9,9.38,699004
68.2,4,30.2,9.57,293381
157.4,3,10.1,9.45,535440
60.5,3,11.8,8.73,261311
79.3,6,4.2,10.61,338474
44.5,4,51.1,6.43,225175
98.2,6,41.6,10.96,306688
150.8,2,1,6.98,556489
104.1,5,9.8,7.68,437021
140.0,4,32.3,3.67,542088
141.7,5,26.3,9.56,433102
71.2,2,1,13.6,276802
114.0,4,52.0,2.98,372549
137.9,2,26.8,3.77,477353
151.4,4,20.5,6.61,576275
214.0,6,41.8,9.37,735043
41.8,5,2.6,9.51,269598
108.9,4,42.7,7.01,465048
118.0,5,10.2,3.99,468699
104.3,7,15.2,2.35,565492
104.9,4,44.4,11.54,370763
138.9,6,46.0,0.77,612575
171.6,4,62.8,3.64,565109
94.3,4,77.0,8.79,309469
68.2,4,17.2,6.67,315845
87.2,7,37.6,8.39,346163
180.1,3,23.2,2.85,667765
137.1,6,34.3,12.36,448254
54.9,7,21.7,19.63,198413
113.4,7,50.2,9.79,440256
122.6,6,23.8,3.97,495180
170.7,5,19.6,9.9,592881
106.0,5,19.0,6.84,410112
97.6,6,38.4,4.3,411688
89.2,5,53.5,5.53,378963
49.8,5,17.6,3.3,267823
196.6,4,46.2,13.37,616716
121.6,5,41.0,15.75,353904
150.4,5,27.2,6.47,613376
98.7,5,48.1,3.2,397142
104.3,4,8.6,13.81,408657
114.5,2,25.8,6.2,398638
91.5,6,37.9,10.08,368417
135.8,5,42.4,2.79,543196
156.7,6,24.6,7.96,583098
95.1,2,38.1,10.2,266105
185.2,7,49.4,2.82,780155
40,7,22.3,9.84,291568
72.7,3,23.4,6.8,303341
102.6,6,21.6,13.69,411101
159.7,2,29.9,5.86,591486
154.1,2,25.4,2.91,506599
135.4,6,45.0,0.61,516240
158.1,3,11.8,4.33,559915
136.9,6,32.3,9.44,536118
143.3,5,44.2,2.5,497031
125.9,6,26.1,5.2,577196
105.2,4,33.7,2.53,365195
133.7,3,22.9,4.25,504506
199.2,6,37.8,8.11,699886
147.8,3,29.5,16.89,488774
141.3,5,12.6,6.2,608933
165.3,2,19.8,8.18,591095
114.4,4,12.5,2.93,511163
199.7,2,30.1,9.74,667782
161.4,4,69.3,4.98,559341
78.7,4,56.4,6.79,303031
173.4,4,48.5,4.26,587625
84.0,5,28.4,13.77,342010
107.3,7,33.8,9.81,471685
52.4,6,16.2,0.87,359922
128.0,4,15.0,8.85,521493
83.7,4,7.8,12.52,324910
126.3,3,44.6,21.14,309563
84.5,4,14.0,4.03,367775
99.3,2,24.4,7.23,336778
159.0,5,1.4,14.26,595330
124.3,7,27.5,10.14,521958
140.9,7,12.2,9.17,572608
182.0,4,8.2,10.24,704588
148.1,7,32.8,4.98,622287
145.0,7,8.3,13.89,522098
141.7,2,35.7,3.21,539579
89.1,2,1,4.65,310660
120.8,4,59.9,9.51,392844
111.8,6,38.8,7.37,389143
131.1,3,26.3,1.9,520512
156.4,6,49.5,5.87,633400
152.7,6,56.1,3.15,575709
173.2,6,12.9,7.9,666020
155.0,4,1,14.63,503046
66.9,3,10.8,7.54,279989
91.1,4,53.3,7.99,312226
106.4,7,8.1,5.88,481273
83.5,5,22.2,4.59,393812
58.9,7,24.5,4.65,310254
107.9,7,14.1,0.5,517517
167.1,2,46.9,15.14,467303
96.9,3,21.0,13.59,326752
90.8,2,21.3,9.82,350005
167.6,3,39.1,12.1,582710
105.9,3,13.4,14.13,373133
158.4,7,44.1,5.46,694023
152.3,4,43.0,6.62,517737
40,7,44.5,5.29,213294
53.8,3,32.4,10.49,231937
102.6,2,34.4,10.7,312270
146.4,2,34.9,10.3,502715
90.0,6,18.7,8.53,407452
186.6,2,23.5,7.94,575874
117.8,7,10.9,3.74,544668
138.5,2,45.9,6.89,459381
107.6,7,49.2,6.25,427733
120.6,2,34.8,11.96,386397
143.5,7,38.6,0.5,587976
112.3,7,17.4,11.19,422482
108.2,4,35.2,6.36,445128
83.6,4,19.5,8.08,358431
68.6,7,14.7,6.94,380917
128.8,7,43.5,9.85,533131
105.7,7,21.4,8.31,491539
93.5,2,11.2,10.7,296818
127.6,2,42.0,12.25,325065
129.7,4,6.6,9.21,501003
99.5,2,1,2.51,426927
159.8,3,1,7.73,582155
140.0,6,1,8.57,591921
100.2,6,42.9,14.73,331867
220.9,6,17.6,14.35,805460
113.9,7,9.1,6.48,568137
163.8,7,19.0,13.23,683169
64.3,3,20.2,9.13,327831
111.9,6,15.5,4.34,533278
77.5,6,36.1,5.1,374841
135.0,3,71.9,6.14,422247
139.8,2,14.5,10.28,525689
112.7,5,12.5,8.77,510873
156.4,6,39.1,0.87,586090
89.2,3,1,11.31,311654
105.2,2,1,0.89,357272
75.8,7,23.1,6.09,404606
169.9,2,19.2,12.52,596317
147.5,4,29.7,14.01,512996
162.7,2,19.5,6.89,509533
162.6,3,8.8,0.5,580355
136.7,7,17.1,11.93,489333
119.5,4,22.3,10.77,464765
112.2,7,1,0.65,557282
97.3,4,38.4,8.64,344069
173.5,4,12.8,4.25,692729
238.7,5,32.2,8.62,819872
175.2,3,45.7,13.43,618700
161.8,3,5.9,5.42,575092
187.7,4,24.5,8.63,648487
107.5,6,33.6,6.99,448093
128.2,6,18.9,10.51,454440
84.5,3,37.8,6.47,274983
133.1,6,69.9,11.18,475965
137.8,6,62.3,6.05,488991
147.2,4,1,4.49,559352
117.3,6,26.6,5.15,497382
120.6,6,61.8,10.16,443327
104.8,4,12.4,19.36,410615
87.5,6,43.4,20.01,277159
170.1,2,29.9,12.8,480892
82.0,4,6.0,9.85,280832
125.4,3,57.0,6.58,383824
125.5,6,1,9.81,502296
164.3,4,4.5,11.37,603907
67.0,5,73.2,0.5,288653
169.1,3,1,8.32,608059
150.3,5,10.7,2.53,647179
168.0,3,14.7,6.91,624484
112.6,4,2.5,10.33,454795
167.2,4,14.1,0.5,584887
77.0,5,49.3,6.37,231141
138.5,3,11.6,7.5,534644
143.7,4,26.6,8.07,527030
161.7,6,30.8,7.04,659067
144.1,2,32.8,13.28,434120
184.0,6,40.7,6.82,687244
138.8,2,45.7,2.22,400742
